year,region,total,detained,nc,dc,rc,nn,dn,rn,total_year,detained_year,pct_criminal_detained,pct_noncriminal_detained,pct_detained,pct_all_proceedings,pct_all_detained
2009,OCEANIA,592.0,262.0,32.0,154.0,12.0,298.0,49.0,47.0,238150.0,150673.0,0.8383838383838383,0.2436548223350254,0.44256756756756754,0.0024858282595003147,0.001738864959216316
2009,OTHERS,700.0,478.0,4.0,11.0,1.0,218.0,387.0,79.0,238150.0,150673.0,0.75,0.6812865497076024,0.6828571428571428,0.002939323955490237,0.00317243301719618
2010,AFRICA,11109.0,3487.0,179.0,881.0,115.0,7443.0,924.0,1567.0,234358.0,145450.0,0.8476595744680852,0.25075498288705456,0.313889639031416,0.04740183821333174,0.023973874183568236
2010,CARIBBEAN,15220.0,7185.0,1895.0,4191.0,415.0,6140.0,1250.0,1329.0,234358.0,145450.0,0.7085063836332872,0.2957908016974424,0.4720762155059133,0.06494337722629481,0.049398418700584396
2010,CENTRAL AMERICA,156231.0,118679.0,2043.0,20993.0,1422.0,35509.0,70598.0,25666.0,234358.0,145450.0,0.9164690489819282,0.7305290158074871,0.7596379719773925,0.6666339531827375,0.8159436232382262
2010,SOUTH AMERICA,14010.0,5230.0,496.0,1286.0,159.0,8284.0,1772.0,2013.0,234358.0,145450.0,0.7444616177228233,0.3136133896760295,0.37330478229835834,0.05978033606704273,0.035957373667927124
2010,NORTH AMERICA,1213.0,415.0,200.0,247.0,25.0,598.0,104.0,39.0,234358.0,145450.0,0.576271186440678,0.19298245614035087,0.34212695795548226,0.005175842087746098,0.002853214162942592
2010,ASIA,28416.0,7505.0,673.0,1931.0,239.0,20238.0,1157.0,4178.0,234358.0,145450.0,0.7632782272247626,0.20861846478708013,0.264111768018018,0.12125039469529524,0.0515984874527329
2010,EUROPE,6952.0,2168.0,365.0,926.0,132.0,4419.0,547.0,563.0,234358.0,145450.0,0.7434996486296557,0.20075963103635378,0.31185270425776757,0.029664018296793795,0.014905465795806119
2010,OCEANIA,540.0,249.0,49.0,163.0,11.0,242.0,41.0,34.0,234358.0,145450.0,0.7802690582959642,0.23659305993690852,0.46111111111111114,0.0023041671289224176,0.0017119284977655553
2010,OTHERS,667.0,532.0,4.0,10.0,0.0,131.0,432.0,90.0,234358.0,145450.0,0.7142857142857143,0.7993874425727412,0.7976011994002998,0.002846073101835653,0.003657614300446889
2011,AFRICA,9444.0,2957.0,148.0,967.0,140.0,6339.0,787.0,1063.0,235995.0,157800.0,0.8820717131474104,0.2259128098668946,0.3131088521812791,0.040017796987224304,0.018738910012674272
2011,CARIBBEAN,13441.0,7037.0,1968.0,4251.0,404.0,4436.0,1096.0,1286.0,235995.0,157800.0,0.7028536916805074,0.34936931651510705,0.5235473551075068,0.056954596495688466,0.04459442332065906
2011,CENTRAL AMERICA,165258.0,130894.0,1800.0,18859.0,1562.0,32564.0,73288.0,37185.0,235995.0,157800.0,0.9189955447549615,0.7723386256702811,0.7920584782582386,0.7002605987414987,0.8294930291508238
2011,SOUTH AMERICA,11691.0,5489.0,420.0,1235.0,142.0,5782.0,1690.0,2422.0,235995.0,157800.0,0.7662771285475793,0.41560541742470186,0.46950645795911383,0.0495391851522278,0.034784537389100124
2011,NORTH AMERICA,868.0,358.0,155.0,196.0,16.0,355.0,105.0,41.0,235995.0,157800.0,0.5776566757493188,0.29141716566866266,0.41244239631336405,0.0036780440263564904,0.0022686945500633715
2011,ASIA,27809.0,7798.0,614.0,1813.0,220.0,19397.0,1121.0,4644.0,235995.0,157800.0,0.7680392897619948,0.22911533264446388,0.2804128159948218,0.11783724231445582,0.0494169835234474
2011,EUROPE,6173.0,2307.0,305.0,956.0,114.0,3561.0,561.0,676.0,235995.0,157800.0,0.7781818181818182,0.25781575656523553,0.3737242831686376,0.026157333841818682,0.01461977186311787
2011,OCEANIA,469.0,261.0,30.0,135.0,17.0,178.0,56.0,53.0,235995.0,157800.0,0.8351648351648352,0.3797909407665505,0.5565031982942431,0.0019873302400474587,0.0016539923954372623
2011,OTHERS,842.0,699.0,5.0,11.0,0.0,138.0,610.0,78.0,235995.0,157800.0,0.6875,0.8329297820823245,0.830166270783848,0.003567872200682218,0.004429657794676806
2012,AFRICA,6884.0,2579.0,156.0,967.0,140.0,4149.0,671.0,801.0,203299.0,135939.0,0.8764845605700713,0.2618751111901797,0.3746368390470657,0.03386145529491045,0.01897174467959894
2012,CARIBBEAN,10624.0,5568.0,1610.0,3504.0,428.0,3446.0,784.0,852.0,203299.0,135939.0,0.7094911584265609,0.3219205037386856,0.5240963855421686,0.052258004220384756,0.040959548032573435
2012,CENTRAL AMERICA,150466.0,114067.0,1617.0,16685.0,1817.0,34782.0,51263.0,44302.0,203299.0,135939.0,0.9196282121377802,0.733158415613708,0.7580915289832919,0.7401216926792556,0.8391043041364141
2012,SOUTH AMERICA,8671.0,4744.0,302.0,1029.0,153.0,3625.0,1189.0,2373.0,203299.0,135939.0,0.7964959568733153,0.4956170864060109,0.547111059854688,0.042651464099675844,0.03489800572315524
